label,buy_age,start_mileage,most_recently_amount,year_station_costmoney,industry,sr_area,sales_city_lvname,month_income,marital_status,is_insaic_insur,system,cust_sex
1,24.5,0,1040.0,0.0,,,一线城市,10000－14999元,未婚,否,,1
1,51.8,0,326.0,0.0,,,一线城市,3000－5999元,已婚,是,,1
1,52.6,0,608.0,608.0,,,五线城市,6000－9999元,已婚,否,,1
1,27.8,10683,0.0,0.0,,车主俱乐部,三线城市,,,否,ios,1
1,34.5,0,0.0,0.0,,,一线城市,,,否,,1
1,39.9,0,3.0,3.0,,,四线城市,,,否,,1
1,36.2,0,0.0,0.0,,,一线城市,,,是,ios,0
1,38.0,284269,1.0,1.0,,,三线城市,,,否,,1
1,39.8,5062,0.0,0.0,,售后咨询,一线城市,,,否,,1
1,46.6,0,0.0,0.0,,,五线城市,,,否,android,1
1,31.9,0,0.0,596.0,,,五线城市,,,是,ios,1
1,49.5,0,875.0,875.0,,,三线城市,,,否,ios,1
1,35.6,9462,1557.0,5727.0,,,四线城市,,,否,ios,1
1,42.8,0,0.0,0.0,,,四线城市,,,否,android,1
1,22.5,31155,1049.0,3930.0,,,二线城市,,,否,android,0
1,65.3,0,1749.0,1749.0,,,三线城市,,,否,,1
1,29.6,0,676.0,676.0,,,一线城市,,,是,android,1
1,26.3,11297,100.0,100.0,,,一线城市,,,否,,0
1,64.0,0,4949.0,9351.0,,,一线城市,,,否,android,1
1,31.7,0,0.0,0.0,,售后咨询,二线城市,,,否,android,0
1,62.0,0,454.0,647.0,,,一线城市,,,是,,1
1,34.4,0,2006.0,0.0,,售后咨询,,,,否,,1
1,50.9,34402,1554.0,5205.0,,,二线城市,10000－14999元,已婚,否,android,1
1,49.6,0,340.0,340.0,,,二线城市,,,是,,1
1,27.3,23939,874.0,3733.0,,,一线城市,,,否,android,0
1,38.4,8520,0.0,0.0,,售后咨询,二线城市,,,否,android,1
1,34.8,0,1832.0,7175.0,,,一线城市,,,否,,1
1,35.9,0,312.0,312.0,,,三线城市,,,否,,1
1,48.8,0,27.0,27.0,,,一线城市,,,否,ios,0
1,30.4,0,3900.13,3900.13,,,一线城市,,,否,android,1
1,25.3,0,1007.0,1885.0,,零星问题,四线城市,,,否,android,0
1,31.5,0,0.0,0.0,,,四线城市,,,否,,0
1,23.4,0,823.0,823.0,,,四线城市,,,是,,1
1,33.2,0,6481.0,6481.0,,,四线城市,,,否,,1
1,22.0,0,1157.0,2268.0,,召回,三线城市,,,是,android,1
1,26.7,17921,304.0,3159.0,,,二线城市,,,否,,0
1,23.2,10405,866.0,0.0,,售后咨询,三线城市,,,否,,1
1,52.6,6573,2725.0,14153.61,,,二线城市,,,是,android,1
1,30.6,39731,600.0,600.0,,,一线城市,,,否,,0
1,39.6,166412,1456.0,0.0,批发零售贸易业,质量维修,三线城市,25000－29999元,已婚,否,,1
1,55.3,0,0.0,70.0,,,一线城市,,,是,ios,1
1,31.7,0,100.0,100.0,,,二线城市,,,否,android,1
1,28.3,29894,90.0,0.0,,售后咨询,一线城市,25000－29999元,已婚,是,,1
1,32.5,0,1905.0,1905.0,,,一线城市,15000－19999元,已婚,否,,0
1,35.2,0,473.0,473.0,,,二线城市,10000－14999元,已婚,否,ios,1
1,27.0,0,0.0,0.0,,,一线城市,,,否,,1
1,41.7,83981,26813.0,26813.0,,,五线城市,6000－9999元,已婚,否,,1
1,30.0,0,704.0,0.0,,,二线城市,10000－14999元,已婚,否,,1
1,47.2,48839,292.0,295.89,,,一线城市,3000元以下,已婚,否,,1
1,48.9,28863,843.0,1991.0,,,一线城市,15000－19999元,已婚,否,,1
